Invoice,Inhouse,"Generated In",Consignee,"Invoice Type"
INV-1417,WR-2629-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1412,INH-10000524,03/30/2023,"FIRST NAME LAST NAME",Inhouse
INV-1411,INH-10000523,03/30/2023,"FIRST NAME LAST NAME",Inhouse
INV-1408,INH-10000520,03/30/2023,"FIRST NAME LAST NAME",Inhouse
INV-1407,INH-10000519,03/30/2023,"FIRST NAME LAST NAME",Inhouse
INV-1404,WR-2577-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1403,WR-2576-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1402,WR-2575-PWR,03/30/2023,"FIRST NAME LAST NAME",shopperassist
INV-1394,WR-2536-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1393,WR-2533-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1391,WR-2530-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1390,WR-2529-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1389,WR-2528-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1388,WR-2527-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1387,WR-2525-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1386,WR-2524-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1385,WR-2523-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1384,WR-2522-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1382,WR-2521-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1381,WR-2520-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1379,WR-2519-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1378,WR-2515-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1377,WR-2514-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1376,WR-2513-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1375,WR-2510-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1373,WR-2507-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1372,WR-2506-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1370,WR-2502-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1369,WR-2501-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1368,WR-2500-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1367,WR-2497-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1366,WR-2496-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1364,WR-2495-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1360,WR-2484-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1359,WR-2482-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1358,WR-2481-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1357,WR-2479-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1355,WR-2476-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1354,WR-2475-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1353,WR-2474-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1351,WR-2473-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1350,WR-2472-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1349,WR-2470-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1348,WR-2469-PWR,03/29/2023,"FIRST NAME LAST NAME",shopperassist
INV-1341,INH-10000480,03/28/2023,"FIRST NAME LAST NAME",Inhouse
INV-1340,INH-10000479,03/28/2023,"FIRST NAME LAST NAME",Inhouse
INV-1335,WR-2434-PWR,03/28/2023,"FIRST NAME LAST NAME",shopperassist
INV-1334,WR-2433-PWR,03/28/2023,"FIRST NAME LAST NAME",shopperassist
INV-1333,WR-2432-PWR,03/28/2023,"FIRST NAME LAST NAME",shopperassist
INV-1332,WR-2431-PWR,03/28/2023,"FIRST NAME LAST NAME",shopperassist
INV-1330,WR-2430-PWR,03/28/2023,"FIRST NAME LAST NAME",shopperassist
INV-1328,INH-10000473,03/28/2023,"FIRST NAME LAST NAME",Inhouse
INV-1326,INH-10000471,03/28/2023,"FIRST NAME LAST NAME",Inhouse
INV-1326,INH-10000471,03/28/2023,"FIRST NAME LAST NAME",Inhouse
INV-1326,INH-10000471,03/28/2023,"FIRST NAME LAST NAME",Inhouse
INV-1326,INH-10000471,03/28/2023,"FIRST NAME LAST NAME",Inhouse
INV-1323,INH-10000468,03/28/2023,"FIRST NAME LAST NAME",Inhouse
